选课号,课程,开课校区,授课方式,授课老师,学分,总学时,限选人数,上课教室,课程类型,上课时间
"","","","","","","","","7407（研讨）","Specialty","1-17周 四(1-2节)",
"15002024","专业英语II—听说读写","崂山校区","讲授","江曦","4.0","64","22","7407（研讨）","Specialty","1-17周 二(3-4节)",
"","","","","","","","","7407（研讨）","Specialty","1-17周 四(3-4节)",
"15002014","刑法学","崂山校区","讲授","赵星 王倩云","6.0","96","50","","Specialty","1-17周 二(10-12节)",
"","","","","","","","","","Specialty","1-17周 三(7-9节)",
"15002015","刑法学","崂山校区","讲授","李湛","6.0","96","50","","Specialty","1-17周 二(10-12节)",
"","","","","","","","","","Specialty","1-17周 三(7-9节)",
"15002016","刑法学","崂山校区","讲授","胡宗金","6.0","96","50","","Specialty","1-17周 二(10-12节)",
"","","","","","","","","","Specialty","1-17周 三(7-9节)",
"15002068","法理学Ⅱ：法理学原理","崂山校区","讲授","李晟","2.0","32","150","","Specialty","1-17周 四(3-4节)",
"15002069","国际私法","崂山校区","讲授","梅宏","2.0","32","240","","Specialty","1-17周 二(3-4节)",
"15002074","宪法学Ⅱ：宪法学原理","崂山校区","讲授","丁轶","2.0","32","120","","Specialty","1-17周 五(1-2节)",
"15002002","法律英语","崂山校区","讲授","ANGELO_FALSONE","2.0","32","120","","Specialty","1-17周 一(7-8节)",
"15002003","民法Ⅱ：合同法","崂山校区","讲授","于铭","3.0","48","240","","Specialty","1-17周 二(5-7节)",
"15002071","民法Ⅲ：物权法","崂山校区","讲授","瞿灵敏 徐方亮","3.0","48","240","","Specialty","1-17周 三(5-7节)",
"15002081","劳动与社会保障法学","崂山校区","讲授","涂俊","2.0","32","240","","Specialty","1-17周 一(3-4节)",
"15002041","经济法学","崂山校区","讲授","王洋","2.0","32","130","","Specialty","1-17周 一(10-11节)",
"15002040","环境法学","崂山校区","讲授","梅宏","2.0","32","130","","Specialty","1-17周 四(3-4节)",
"15002066","美国法律制度II（美国）","崂山校区","讲授","外教(法学中美班)","4.0","144","41","法学院105-9","Specialty","1-13周 二(5-6节)",
"","","","","","","","","法学院105-9","Specialty","1-13周 四(1-2节)",
"15002067","美国法律制度II（美国）","崂山校区","讲授","外教(法学中美班)","4.0","144","41","法学院105-9","Specialty","1-13周 二(7-8节)",
"","","","","","","","","法学院105-9","Specialty","1-13周 四(3-4节)",
"15002064","美国法律制度III（美国）","崂山校区","讲授","外教(法学中美班)","4.0","144","41","法学院502-4","Specialty","1-13周 三(1-2节)",
"","","","","","","","","法学院502-4","Specialty","1-13周 五(1-2节)",
"15002065","美国法律制度III（美国）","崂山校区","讲授","外教(法学中美班)","4.0","144","41","法学院502-4","Specialty","1-13周 三(3-4节)",
"","","","","","","","","法学院502-4","Specialty","1-13周 五(3-4节)",
"15002051","美国知识产权法","崂山校区","讲授","外教(法学中美班)","4.0","72","60","法学院105-9","Specialty","1-13周 三(1-2节)",
"","","","","","","","","法学院105-9","Specialty","1-13周 五(1-2节)",
"15002052","美国知识产权法","崂山校区","讲授","外教(法学中美班)","4.0","72","60","法学院105-9","Specialty","1-13周 三(3-4节)",
"","","","","","","","","法学院105-9","Specialty","1-13周 五(3-4节)",
